Years,Emis
1865,420.48900498
1866,417.10118493
1867,424.2969753
1868,434.93022826
1869,426.40361673
1870,433.22876245
1871,425.16065132
1872,417.74427336
1873,429.28028904
1874,435.80418001
1875,426.89349545
1876,429.48054773
1877,434.060346
1878,437.95994977
1879,440.85175907
1880,437.36572754
1881,440.97372482
1882,436.07863012
1883,428.22120343
1884,436.51834918
1885,438.14153854
1886,437.73332685
1887,443.10773814
1888,452.50230797
1889,448.69086963
1890,453.89903233
1891,444.3827318
1892,439.80865905
1893,443.35065579
1894,456.69603251
1895,453.55188505
1896,444.09442778
1897,456.41220547
1898,456.60376736
1899,462.10359939
1900,459.54446685
1901,457.61683051
1902,455.02617682
1903,449.96253041
1904,462.62176503
1905,467.44012884
1906,466.4356479
1907,480.31745636
1908,482.58263401
1909,480.68946879
1910,491.47136222
1911,482.37364837
1912,477.98892146
1913,488.26760349
1914,494.49788263
1915,484.24768488
1916,482.95426601
1917,492.96004475
1918,496.24207308
1919,490.97941712
1920,498.87459988
1921,486.61362419
1922,484.82734184
1923,514.23439514
1924,499.0974144
1925,502.69576876
1926,499.04182037
1927,515.09108838
1928,515.84008893
1929,527.05357551
1930,535.03490282
1931,504.8981345
1932,510.1823315
1933,508.11601206
1934,528.03316601
1935,529.44094063
1936,550.03985485
1937,550.61094191
1938,535.42684846
1939,554.53791712
1940,550.46540565
1941,552.95006508
1942,560.18418611
1943,561.0185503
1944,569.42755785
1945,562.3881403
1946,555.28996295
1947,563.40377537
1948,586.53608005
1949,588.44103868
1950,619.94397091
1951,593.19945058
1952,606.95633999
1953,623.9750548
1954,628.90966353
1955,641.32672533
1956,673.80622903
1957,695.94961306
1958,661.28548584
1959,665.43672221
1960,668.56566298
1961,701.00534526
1962,678.84922337
1963,741.31960162
1964,689.11146001
1965,709.31229627
1966,710.94146646
1967,746.20982087
1968,740.48241823
1969,747.02973154
1970,781.0375523
1971,796.20294253
1972,868.47357075
1973,826.02931323
1974,824.62140222
1975,816.91948586
1976,856.06349153
1977,868.43130969
1978,897.40514836
1979,900.4664227
1980,890.51149519
1981,875.78160944
1982,967.42929829
1983,862.02149433
1984,889.7020107
1985,906.93681995
1986,914.52180932
1987,952.06114919
1988,950.41518743
1989,930.84677546
1990,940.56263135
1991,1129.98388325
1992,913.3754186
1993,941.88163533
1994,1060.28274433
1995,955.03630616
1996,930.02188072
1997,1204.99230541
1998,1085.4305992
1999,940.70067799
2000,886.56473023
2001,881.67039558
2002,970.72441719
2003,944.74707861
2004,945.54695007
2005,950.59244444
2006,986.15100889
2007,945.86959444
2008,912.51048431
2009,917.72923094
2010,953.22863029
2011,906.76736751
2012,949.60221835
2013,901.23875664
2014,964.04761815
2015,934.34988468
2016,932.57526493
2017,930.80064517
2018,929.02602542
2019,927.25140566
2020,925.4767859
2021,916.75146798
2022,908.02615006
2023,899.30083214
2024,890.57551422
2025,881.8501963
2026,873.12487838
2027,864.39956046
2028,855.67424254
2029,846.94892461
2030,838.22360669
2031,827.63889059
2032,817.0541745
2033,806.4694584
2034,795.8847423
2035,785.3000262
2036,774.7153101
2037,764.130594
2038,753.5458779
2039,742.9611618
2040,732.3764457
2041,719.38579624
2042,706.39514678
2043,693.40449732
2044,680.41384786
2045,667.4231984
2046,654.43254894
2047,641.44189948
2048,628.45125002
2049,615.46060056
2050,602.46995111
2051,598.86552558
2052,595.26110006
2053,591.65667454
2054,588.05224902
2055,584.44782349
2056,580.84339797
2057,577.23897245
2058,573.63454693
2059,570.03012141
2060,566.42569588
2061,562.98916712
2062,559.55263836
2063,556.11610959
2064,552.67958083
2065,549.24305206
2066,545.8065233
2067,542.36999453
2068,538.93346577
2069,535.496937
2070,532.06040824
2071,528.75283754
2072,525.44526684
2073,522.13769614
2074,518.83012544
2075,515.52255475
2076,512.21498405
2077,508.90741335
2078,505.59984265
2079,502.29227195
2080,498.98470125
2081,496.18375892
2082,493.3828166
2083,490.58187427
2084,487.78093195
2085,484.97998962
2086,482.1790473
2087,479.37810497
2088,476.57716265
2089,473.77622032
2090,470.97527799
2091,467.75315419
2092,464.5310304
2093,461.3089066
2094,458.0867828
2095,454.864659
2096,451.6425352
2097,448.4204114
2098,445.1982876
2099,441.9761638
2100,438.75404
