Years,Emis
1750,1.135575908108894
1751,1.102596564943065
1752,1.0982744156733215
1753,1.1174028378935486
1754,1.151915469229479
1755,1.1329290044060372
1756,1.1331216277201843
1757,1.1801118254918244
1758,1.123863315709503
1759,1.161841971328597
1760,1.1746904850212818
1761,1.1686188000233404
1762,1.1747109792517207
1763,1.1635225557695126
1764,1.1095843580157752
1765,1.1610870936781161
1766,1.151628678673541
1767,1.15524075518851
1768,1.1802307294819574
1769,1.1781911118139377
1770,1.155057415501954
1771,1.1154681183309023
1772,1.114423031750027
1773,1.1194108559770264
1774,1.175532622656796
1775,1.143308441909232
1776,1.146111531531755
1777,1.1771610736529503
1778,1.1517203431254135
1779,1.1621758313125703
1780,1.1957025149954177
1781,1.18711360189622
1782,1.1834648089319284
1783,1.1693511739280655
1784,1.1312099411243466
1785,1.1542924533166552
1786,1.1643665870608508
1787,1.1739916486631632
1788,1.2020493940449537
1789,1.1877413756775912
1790,1.169939044971608
1791,1.1338290908647881
1792,1.1261606101247121
1793,1.1342717009877106
1794,1.1935325691627288
1795,1.1654530179964766
1796,1.1706277789860469
1797,1.1931958897683508
1798,1.1688690761553424
1799,1.1923331502538215
1800,1.2159213695018405
1801,1.202774307642274
1802,1.2164448646794845
1803,1.1858424452086211
1804,1.1751826500523919
1805,1.185166857547122
1806,1.2086961751604939
1807,1.2149546113640302
1808,1.2405484313182775
1809,1.2267550206242337
1810,1.211108110253333
1811,1.1850380269521033
1812,1.1681943860174506
1813,1.1910477652462745
1814,1.2470055090606156
1815,1.2236755675771018
1816,1.236671065312354
1817,1.2590596027553271
1818,1.2388330899609343
1819,1.2631359049950035
1820,1.2873710897587873
1821,1.280221893770527
1822,1.2877469096458078
1823,1.2507333280410329
1824,1.2631019160726495
1825,1.2604756880558146
1826,1.2875113572027175
1827,1.2905633221094153
1828,1.329539476696329
1829,1.3108502308938323
1830,1.3187816445512954
1831,1.2860712480146557
1832,1.277591512595043
1833,1.3029551171089402
1834,1.3417990171254264
1835,1.3260484117504951
1836,1.3659304699246686
1837,1.3692200370606322
1838,1.3711788454812694
1839,1.3969467404724476
1840,1.4240181975721136
1841,1.4280947700947682
1842,1.4305213312784257
1843,1.3969172563762644
1844,1.4166715898359517
1845,1.4321677879914692
1846,1.4572631416831747
1847,1.4795142119362534
1848,1.507202945621163
1849,1.503030913467171
1850,1.4994389184010934
1851,1.4692591851680348
1852,1.4730786742770974
1853,1.4991538194829381
1854,1.5873069107942772
1855,1.5762864197305504
1856,1.6292192855315228
1857,1.6355264566361623
1858,1.6394584410078004
1859,1.7059462851980065
1860,1.7578457262510057
1861,1.778668963664737
1862,1.7949114310660867
1863,1.7851842960860864
1864,1.8428034709641459
1865,1.89143401785039
1866,1.9416257959827945
1867,2.001325711879346
1868,2.0572011097174645
1869,2.089076708524953
1870,2.107396210572791
1871,2.136193551919874
1872,2.205953879266051
1873,2.314705034213336
1874,2.294744198459922
1875,2.3553013047323343
1876,2.4300592007620363
1877,2.4464921093161873
1878,2.461811684517487
1879,2.6119670990690995
1880,2.7560235567761087
1881,2.8113271176417687
1882,2.8940652205805204
1883,2.9289855589302984
1884,2.9918960243330783
1885,3.013953988243024
1886,3.1047313320517596
1887,3.2185827230262998
1888,3.451298829717798
1889,3.458294738239095
1890,3.644747416490377
1891,3.7294860750001675
1892,3.75242474371902
1893,3.7595507604215666
1894,3.878391151459546
1895,4.04041410972474
