Year,Emis
1934,5.608081544798558
1935,5.756738468130756
1936,5.982497709734357
1937,6.234792318695077
1938,6.1153665830664
1939,6.276393713865081
1940,6.463527156788254
1941,6.553001660736464
1942,6.5178122225904715
1943,6.632603370162813
1944,6.7582678036931165
1945,6.544693882034373
1946,6.694275984586961
1947,6.8510985412690175
1948,7.158017148659406
1949,7.0813845937959154
1950,7.484353150987878
1951,7.697050903875237
1952,7.820848220524282
1953,7.959248794615051
1954,8.073496284843829
1955,8.462096583119308
1956,8.732419306760312
1957,8.830616763021371
1958,9.043754011975562
1959,9.364971275291673
1960,9.575919082247708
1961,9.543200313132266
1962,9.75029834625395
1963,10.04383806781026
1964,10.260459556122731
1965,10.49277499776043
1966,10.786044979750804
1967,10.974526791613068
1968,11.491011472013886
1969,11.997218905821779
1970,12.623011761644017
1971,12.809439988231643
1972,13.143140496006295
1973,13.47068080521109
1974,13.357836281910494
1975,13.552270383279401
1976,13.904422559477743
1977,14.27902784889982
1978,14.758344873241835
1979,14.83565016470168
1980,14.723578773349946
1981,14.688736504990986
1982,14.717143436421507
1983,14.791711760414305
1984,15.002513486645022
1985,15.389628125512461
1986,15.478111749821359
1987,15.732883098511145
1988,15.976844089312376
1989,16.038002501744106
1990,15.814956007297809
1991,15.95340860844728
1992,15.824654380116577
1993,15.78320644839038
1994,15.578283823636612
1995,15.709260245741895
1996,15.381811327676
1997,15.389166054696691
1998,15.140967086197287
1999,14.771297164054772
2000,14.819743461022055
2001,14.609766151745388
2002,14.322555803030218
2003,14.446262864074297
2004,14.689704941342738
2005,14.811418192026276
2006,14.793944374737837
2007,14.67410117622497
2008,14.452209150729843
2009,14.200860180034272
2010,14.3
2011,14.331339104889564
2012,14.34566660185968
2013,14.289688529281397
2014,13.968740593575776
2015,13.653959861770197
2016,13.221756140840915
2017,13.055124066706806
2018,12.927773210840202
2019,12.810244893643901
