Years,Emis
1750,1.1355759081088923
1751,1.1025965649430667
1752,1.0982744156733215
1753,1.1174028378935468
1754,1.151915469229479
1755,1.1329290044060336
1756,1.1331216277201843
1757,1.1801118254918226
1758,1.123863315709503
1759,1.161841971328597
1760,1.17469048502128
1761,1.1686188000233386
1762,1.1747109792517207
1763,1.1635225557695144
1764,1.109584358015777
1765,1.1610870936781161
1766,1.1516286786735392
1767,1.15524075518851
1768,1.1802307294819574
1769,1.1781911118139359
1770,1.155057415501954
1771,1.115468118330904
1772,1.114423031750027
1773,1.1194108559770246
1774,1.175532622656796
1775,1.143308441909232
1776,1.146111531531755
1777,1.1771610736529485
1778,1.1517203431254135
1779,1.1621758313125703
1780,1.1957025149954212
1781,1.1871136018962183
1782,1.1834648089319266
1783,1.1693511739280655
1784,1.1312099411243484
1785,1.1542924533166534
1786,1.164366587060849
1787,1.1739916486631632
1788,1.2020493940449537
1789,1.1877413756775912
1790,1.169939044971608
1791,1.1338290908647917
1792,1.1261606101247121
1793,1.1342717009877124
1794,1.1935325691627288
1795,1.1654530179964766
1796,1.1706277789860469
1797,1.193195889768349
1798,1.1688690761553406
1799,1.1923331502538232
1800,1.2159213695018405
1801,1.2027743076422706
1802,1.2164448646794863
1803,1.1858424452086211
1804,1.17518265005239
1805,1.1851668575471237
1806,1.2086961751604939
1807,1.2149546113640302
1808,1.2405484313182775
1809,1.2267550206242337
1810,1.2111081102533348
1811,1.1850380269521033
1812,1.1681943860174506
1813,1.1910477652462745
1814,1.2470055090606174
1815,1.2236755675771018
1816,1.2366710653123505
1817,1.259059602755329
1818,1.238833089960936
1819,1.2631359049950035
1820,1.2873710897587873
1821,1.280221893770527
1822,1.2877469096458078
1823,1.2507333280410329
1824,1.2631019160726495
1825,1.2604756880558146
1826,1.2875113572027157
1827,1.2905633221094135
1828,1.329539476696329
1829,1.3108502308938323
1830,1.3187816445512972
1831,1.2860712480146557
1832,1.277591512595043
1833,1.3029551171089384
1834,1.3417990171254264
1835,1.3260484117504951
1836,1.3659304699246686
1837,1.3692200370606322
1838,1.3711788454812694
1839,1.3969467404724476
1840,1.4240181975721153
1841,1.4280947700947664
1842,1.4305213312784257
1843,1.3969172563762644
1844,1.4166715898359499
1845,1.4321677879914727
1846,1.4572631416831747
1847,1.4795142119362552
1848,1.507202945621163
1849,1.503030913467171
1850,1.4994389184010934
1851,1.4692591851680366
1852,1.4730786742770956
1853,1.4991538194829381
1854,1.587306910794279
1855,1.5762864197305468
1856,1.6292192855315228
1857,1.635526456636164
1858,1.6394584410078004
1859,1.7059462851980065
1860,1.7578457262510057
1861,1.778668963664737
1862,1.7949114310660867
1863,1.7851842960860864
1864,1.8428034709641476
1865,1.89143401785039
1866,1.941625795982798
1867,2.0013257118793444
1868,2.0572011097174627
1869,2.089076708524951
1870,2.107396210572791
1871,2.1361935519198756
1872,2.205953879266051
1873,2.314705034213336
1874,2.294744198459922
1875,2.3553013047323326
1876,2.4300592007620345
1877,2.4464921093161873
1878,2.461811684517489
1879,2.6119670990690977
1880,2.756023556776107
1881,2.8113271176417687
1882,2.8940652205805204
1883,2.9289855589302984
1884,2.9918960243330783
1885,3.013953988243024
1886,3.1047313320517613
1887,3.2185827230262998
1888,3.451298829717798
1889,3.458294738239095
1890,3.6447474164903753
1891,3.7294860750001675
1892,3.75242474371902
1893,3.7595507604215666
1894,3.8783911514595477
1895,4.04041410972474
1896,4.168938984063102
1897,4.306651882941477
1898,4.450662351410241
1899,4.816093130230357
1900,5.001893163464015
1901,5.203690677846236
1902,5.4192146752806405
1903,5.79310935346291
1904,6.020423362199921
1905,6.381300324030368
1906,6.680077754670066
1907,7.447487660380988
1908,7.391599773560726
1909,7.702627985124765
1910,8.115682899122287
1911,8.30311553473036
1912,8.653596280668054
1913,9.347473635048704
1914,9.126074338960334
1915,9.351761381101545
1916,10.168945699718225
1917,10.789759701545753
1918,11.024372266764031
1919,10.63118270187793
1920,11.986533073364662
1921,11.316474801620792
1922,12.068264218847219
1923,13.830189059539848
1924,13.809504530813575
1925,14.310363017570362
1926,14.577604357916499
1927,15.773907789306195
1928,16.016934849301236
1929,17.177808717493896
1930,16.325195994761152
1931,15.230297179214132
1932,14.291746629641485
1933,14.836193611812872
1934,15.725111808841074
1935,16.513333961131266
1936,17.907509521870683
1937,19.03373629829919
1938,17.953086454197333
1939,19.038792902061935
1940,20.524977351225957
1941,21.35774331589584
1942,21.616708884653224
1943,22.607997532956873
1944,23.713059685203163
1945,22.840104102318143
1946,23.663589644676925
1947,25.60784288259687
1948,27.339578641084792
1949,26.869533874450283
1950,29.943576003201798
1951,31.349279194435592
1952,32.42587064503862
1953,33.75638625936008
1954,34.62435474080583
1955,37.79787447313557
1956,40.54382215416357
1957,42.40698931865693
1958,43.4082268511846
1959,45.520099209086
1960,47.71674554253812
1961,49.21358886362067
1962,51.173801304588736
1963,54.23438984339757
1964,57.83014826165085
1965,60.61749725752587
1966,63.17040960690418
1967,66.53058441892645
1968,71.64902077743226
1969,73.89575367499951
1970,79.65488034985877
1971,82.27609362394229
1972,86.10461822094813
1973,90.96020477914013
1974,89.77553080838588
1975,89.4066130283152
1976,93.63498554107991
1977,96.3289208483487
1978,99.7071443668398
1979,102.52825813617402
1980,101.82966307663114
1981,100.29993877041287
1982,97.94995438744667
1983,98.16148749702
1984,100.972696840263
1985,102.69351430770557
1986,103.68886751315182
1987,107.43983615125332
1988,111.45369025441114
1989,113.38867733025354
1990,113.72959721866557
1991,115.06867351132776
1992,115.60240433469777
1993,117.85455307739247
1994,117.56448681669187
1995,119.34792977722185
1996,120.04819011085067
1997,120.61120127444175
1998,121.17044689337249
1999,119.71792946605443
2000,122.95630174162561
2001,122.56530713067863
2002,123.13397369738497
2003,126.64978029418727
2004,132.12408103470858
2005,135.32213009961737
2006,140.0306160029076
2007,143.58649045054722
2008,145.8905526618257
2009,140.857445021237
2010,141.46815023518303
2011,146.93096735516067
2012,145.38222705712295
2013,144.629595122662
2014,143.29890002521097
2015,142.8385166713433
2016,145.03834771453637
2017,147.23817875772946
2018,149.43800980092252
2019,151.6378408441156
2020,153.83767188730866
2021,154.2746784529069
2022,154.7116850185051
2023,155.14869158410335
2024,155.58569814970156
2025,156.0227047152998
2026,156.45971128089803
2027,156.89671784649624
2028,157.33372441209448
2029,157.7707309776927
2030,158.20773754329093
2031,158.3852564983292
2032,158.56277545336746
2033,158.74029440840573
2034,158.917813363444
2035,159.09533231848226
2036,159.27285127352053
2037,159.4503702285588
2038,159.62788918359706
2039,159.80540813863533
2040,159.9829270936736
2041,159.9303709490644
2042,159.87781480445526
2043,159.82525865984607
2044,159.77270251523692
2045,159.72014637062773
2046,159.66759022601855
2047,159.6150340814094
2048,159.5624779368002
2049,159.50992179219105
2050,159.45736564758187
2051,158.87373478948285
2052,158.29010393138384
2053,157.7064730732848
2054,157.12284221518578
2055,156.53921135708677
2056,155.95558049898776
2057,155.37194964088874
2058,154.7883187827897
2059,154.2046879246907
2060,153.62105706659167
2061,153.05930706042878
2062,152.49755705426588
2063,151.93580704810302
2064,151.37405704194012
2065,150.81230703577722
2066,150.25055702961433
2067,149.68880702345143
2068,149.12705701728856
2069,148.56530701112567
2070,148.00355700496277
2071,147.41811809227562
2072,146.83267917958847
2073,146.24724026690131
2074,145.66180135421416
2075,145.076362441527
2076,144.4909235288399
2077,143.90548461615273
2078,143.32004570346558
2079,142.73460679077843
2080,142.14916787809128
2081,141.85884240676575
2082,141.56851693544024
2083,141.27819146411474
2084,140.9878659927892
2085,140.69754052146368
2086,140.40721505013818
2087,140.11688957881267
2088,139.82656410748714
2089,139.5362386361616
2090,139.2459131648361
2091,138.90496131812927
2092,138.5640094714224
2093,138.22305762471555
2094,137.88210577800868
2095,137.54115393130184
2096,137.200202084595
2097,136.85925023788812
2098,136.51829839118128
2099,136.1773465444744
2100,135.83639469776756
