Years,Emis
1960,420.6359348481659
1961,415.1665725542105
1962,419.3175375334712
1963,427.776149937459
1964,433.6226210129219
1965,440.7941933770538
1966,452.12802303159384
1967,461.56244322332606
1968,483.84093429086494
1969,502.2022779036198
1970,529.246848898586
1971,539.6705598010112
1972,555.1541452999793
1973,569.1171006885843
1974,564.3164241455937
1975,569.3344861346908
1976,588.548725572874
1977,602.8216380140514
1978,627.7832752147676
1979,632.2902037072821
1980,622.9488743218266
1981,619.2426198339842
1982,619.9684089979846
1983,620.5599202872904
1984,632.6582245458559
1985,646.6782062762417
1986,650.7601928402325
1987,662.0253787288748
1988,673.7578628439597
1989,673.7930336731113
1990,667.5008962992462
1991,672.280088170171
1992,660.8613664670916
1993,660.8134517928976
1994,652.9692208474423
1995,654.262339416473
1996,651.1871746213883
1997,651.4109671226116
1998,650.6514986379088
1999,626.5496369778637
2000,626.3263641266401
2001,618.7762466177594
2002,604.6906153159566
2003,605.8568139672757
2004,619.6823866578236
2005,627.120828674583
2006,633.3780209263987
2007,635.4536752899006
2008,655.4521177186591
2009,640.7183338015457
2010,643.7996311293967
2011,638.6193782525565
2012,637.7630417699684
2013,639.7333190172301
2014,640.7083095859593
2015,634.8486935574481
2016,607.969429904725
2017,581.0901662520018
2018,554.2109025992787
2019,527.3316389465556
2020,500.45237529383246
2021,482.6300994003226
2022,464.8078235068128
2023,446.9855476133029
2024,429.1632717197931
2025,411.34099582628323
2026,393.51871993277337
2027,375.6964440392635
2028,357.8741681457537
2029,340.0518922522439
2030,322.229616358734
2031,320.1440283008664
2032,318.05844024299887
2033,315.9728521851313
2034,313.8872641272637
2035,311.8016760693961
2036,309.71608801152854
2037,307.63049995366094
2038,305.54491189579335
2039,303.4593238379258
2040,301.3737357800582
2041,299.3346675319754
2042,297.29559928389267
2043,295.25653103580987
2044,293.2174627877271
2045,291.1783945396443
2046,289.13932629156153
2047,287.10025804347873
2048,285.06118979539593
2049,283.0221215473132
2050,280.9830532992304
2051,278.92767905523556
2052,276.8723048112407
2053,274.8169305672459
2054,272.76155632325106
