,Emis
1967,9.108749999999999
1968,9.108749999999999
1969,9.108749999999999
1970,9.108749999999999
1971,9.108749999999999
1972,9.108749999999999
1973,9.108749999999999
1974,9.108749999999999
1975,9.108749999999999
1976,9.108749999999999
1977,9.108749999999999
1978,9.108749999999999
1979,9.108749999999999
1980,9.108749999999999
1981,9.108749999999999
1982,9.108749999999999
1983,9.108749999999999
1984,9.108749999999999
1985,9.108749999999999
1986,9.108749999999999
1987,9.108749999999999
1988,9.108749999999999
1989,9.108749999999999
1990,9.108749999999999
1991,9.108749999999999
1992,9.108749999999999
1993,9.108749999999999
1994,9.108749999999999
1995,9.108749999999999
1996,9.108749999999999
1997,9.108749999999999
1998,12.52
1999,9.25
2000,7.71
2001,7.73
2002,10.02
2003,9.17
2004,9.59
2005,9.76
2006,9.75
2007,9.55
2008,7.54
2009,7.81
2010,9.4
2011,7.6
2012,8.5
2013,7.29
2014,8.85
2015,10.37
2016,7.87
2017,7.95
2018,7.53
2019,10.13
2020,8.33
2021,9.108749999999999
2022,9.108749999999999
2023,9.108749999999999
2024,9.108749999999999
2025,9.108749999999999
2026,9.108749999999999
2027,9.108749999999999
2028,9.108749999999999
2029,9.108749999999999
2030,9.108749999999999
2031,9.108749999999999
2032,9.108749999999999
2033,9.108749999999999
2034,9.108749999999999
2035,9.108749999999999
2036,9.108749999999999
2037,9.108749999999999
2038,9.108749999999999
2039,9.108749999999999
2040,9.108749999999999
2041,9.108749999999999
2042,9.108749999999999
2043,9.108749999999999
2044,9.108749999999999
2045,9.108749999999999
2046,9.108749999999999
2047,9.108749999999999
2048,9.108749999999999
2049,9.108749999999999
2050,9.108749999999999
2051,9.108749999999999
2052,9.108749999999999
2053,9.108749999999999
2054,9.108749999999999
2055,9.108749999999999
2056,9.108749999999999
2057,9.108749999999999
2058,9.108749999999999
2059,9.108749999999999
2060,9.108749999999999
2061,9.108749999999999
2062,9.108749999999999
2063,9.108749999999999
2064,9.108749999999999
2065,9.108749999999999
2066,9.108749999999999
2067,9.108749999999999
2068,9.108749999999999
2069,9.108749999999999
2070,9.108749999999999
2071,9.108749999999999
2072,9.108749999999999
2073,9.108749999999999
2074,9.108749999999999
2075,9.108749999999999
2076,9.108749999999999
2077,9.108749999999999
2078,9.108749999999999
2079,9.108749999999999
2080,9.108749999999999
2081,9.108749999999999
2082,9.108749999999999
2083,9.108749999999999
2084,9.108749999999999
2085,9.108749999999999
2086,9.108749999999999
2087,9.108749999999999
2088,9.108749999999999
2089,9.108749999999999
2090,9.108749999999999
2091,9.108749999999999
2092,9.108749999999999
2093,9.108749999999999
2094,9.108749999999999
2095,9.108749999999999
2096,9.108749999999999
2097,9.108749999999999
2098,9.108749999999999
2099,9.108749999999999
2100,9.108749999999999
