,ssp434,ssp460,ssp119,ssp126,ssp245,ssp585
2005,0.0,0.0,6.184745712005419e-08,6.184745712005419e-08,0.0,2.8937270603937506
2006,0.0,0.0,2.8538766014784686e-06,2.8538766014784686e-06,0.36369703036370005,2.9689689689689933
2007,0.0,0.0,5.6459057458368825e-06,5.6459057458368825e-06,0.7273940607274001,3.044210877544236
2008,0.0,0.0,8.437934890195297e-06,8.437934890195297e-06,1.0910910910911,3.1194527861194783
2009,0.0,0.0,1.1229964034553712e-05,1.1229964034553712e-05,1.4547881214548002,3.194694694694721
2010,0.0,0.0,1.4021993178912127e-05,1.4021993178912127e-05,1.8184851518185001,3.2699366032699637
2011,0.2772304747414104,0.2772304747414104,0.012416350608530467,0.01017771568901978,1.63663663663665,3.347681014347709
2012,0.5544609494828208,0.5544609494828208,0.024818679223882024,0.02034140938486065,1.4547881214548002,3.4254254254254537
2013,0.8316914242242311,0.8316914242242311,0.03722100783923358,0.03050510308070152,1.27293960627295,3.503169836503199
2014,1.1089218989656415,1.1089218989656415,0.04962333645458513,0.040668796776542386,1.0910910910911,3.580914247580944
2015,1.386152373707052,1.386152373707052,0.06202566506993668,0.05083249047238326,0.90924257590925,3.6586586586586893
2016,1.6633828484484623,1.6633828484484623,0.07442799368528825,0.060996184168224124,0.7273940607274001,3.736403069736434
2017,1.9406133231898726,1.9406133231898726,0.0868303223006398,0.071159877864065,0.54554554554555,3.8141474808141793
2018,2.217843797931283,2.217843797931283,0.09923265091599136,0.08132357155990587,0.36369703036369994,3.891891891891924
2019,2.4950742726726935,2.4950742726726935,0.11163497953134291,0.09148726525574674,0.18184851518184986,3.9696363029696693
2020,2.7723047474141036,2.7723047474141036,0.12403730814669447,0.1016509589515876,0.0,4.0473807140474145
2021,3.3528485831331607,3.344226296196224,5.973521149270058,0.8307534477937043,0.10677344010677432,4.420253586920291
2022,3.933392418852218,3.916147844978344,11.823004990393423,1.5598559366358211,0.21354688021354865,4.793126459793166
2023,4.513936254571275,4.488069393760464,17.672488831516784,2.288958425477938,0.320320320320323,5.1659993326660425
2024,5.094480090290332,5.0599909425425835,23.52197267264015,3.0180609143200545,0.4270937604270973,5.538872205538919
2025,5.6750239260093895,5.631912491324703,29.371456513763516,3.7471634031621712,0.5338672005338716,5.911745078411794
2026,6.255567761728447,6.203834040106824,35.22094035488688,4.476265892004288,0.640640640640646,6.2846179512846705
2027,6.836111597447504,6.775755588888945,41.070424196010244,5.205368380846405,0.7474140807474202,6.657490824157547
2028,7.416655433166561,7.347677137671065,46.91990803713361,5.934470869688521,0.8541875208541946,7.030363697030422
2029,7.997199268885618,7.919598686453185,52.769391878256975,6.663573358530638,0.960960960960969,7.403236569903298
2030,8.577743104604675,8.491520235235305,58.618875719380334,7.392675847372755,1.0677344010677432,7.776109442776174
2031,9.39345923850525,9.250055540115191,86.24038402133978,9.308630865882977,2.482482482482503,8.47580914247588
2032,10.209175372405824,10.008590844995076,113.86189232329923,11.224585884393198,3.897230563897263,9.175508842175585
2033,11.024891506306396,10.767126149874963,141.48340062525867,13.140540902903421,5.311978645312023,9.87520854187529
2034,11.84060764020697,11.52566145475485,169.10490892721813,15.056495921413642,6.726726726726783,10.574908241574995
2035,12.656323774107545,12.284196759634735,196.72641722917757,16.972450939923863,8.141474808141542,11.2746079412747
2036,13.472039908008119,13.042732064514622,224.347925531137,18.888405958434085,9.556222889556302,11.974307640974406
2037,14.287756041908693,13.801267369394509,251.96943383309647,20.804360976944306,10.970970970971063,12.674007340674112
2038,15.103472175809266,14.559802674274394,279.5909421350559,22.720315995454527,12.385719052385824,13.373707040373816
2039,15.919188309709842,15.31833797915428,307.2124504370154,24.63627101396475,13.800467133800584,14.073406740073523
2040,16.734904443610414,16.076873284034168,334.83395873897484,26.55222603247497,15.215215215215341,14.773106439773228
2041,17.792094729396208,16.98298562354869,346.9384363570996,27.838705636531994,17.605105105105253,16.086920253587053
2042,18.849285015182005,17.88909796306321,359.04291397522434,29.12518524058902,19.99499499499516,17.400734067400876
2043,19.9064753009678,18.795210302577733,371.1473915933491,30.41166484464604,22.384884884885068,18.714547881214703
2044,20.963665586753592,19.701322642092254,383.2518692114739,31.698144448703065,24.77477477477498,20.028361695028526
2045,22.020855872539386,20.60743498160678,395.35634682959864,32.98462405276009,27.16466466466489,21.342175508842352
2046,23.078046158325183,21.5135473211213,407.4608244477234,34.27110365681712,29.554554554554798,22.655989322656175
2047,24.135236444110976,22.419659660635823,419.56530206584813,35.55758326087414,31.94444444444471,23.96980313647
2048,25.192426729896773,23.325772000150344,431.66977968397293,36.84406286493116,34.33433433433461,25.283616950283825
2049,26.249617015682567,24.231884339664866,443.7742573020977,38.13054246898819,36.72422422422453,26.597430764097652
2050,27.30680730146836,25.137996679179388,455.8787349202224,39.41702207304521,39.114114114114436,27.911244577911475
2051,28.323383866228962,25.797917132863077,455.5627584295119,43.304749562376465,44.68885552218922,29.091591591591833
2052,29.339960430989564,26.457837586546766,455.2467819388014,47.19247705170772,50.26359693026401,30.27193860527219
2053,30.35653699575017,27.117758040230456,454.9308054480909,51.08020454103898,55.8383383383388,31.452285618952544
2054,31.37311356051077,27.777678493914145,454.6148289573804,54.967932030370235,61.41307974641359,32.632632632632905
2055,32.38969012527137,28.437598947597834,454.2988524666699,58.85565951970149,66.98782115448837,33.81297964631326
2056,33.40626669003197,29.097519401281524,453.9828759759594,62.743387009032745,72.56256256256316,34.99332665999361
2057,34.422843254792575,29.75743985496521,453.6668994852489,66.631114498364,78.13730397063794,36.173673673673974
