Years,Emis
2053,237.66121419
2054,236.80618387
2055,235.95115355
2056,235.09612324
2057,234.24109292
2058,233.3860626
2059,232.53103229
2060,231.67600197
2061,231.48656948
2062,231.29713699
2063,231.10770449
2064,230.918272
2065,230.72883951
2066,230.53940702
2067,230.34997453
2068,230.16054203
2069,229.97110954
2070,229.78167705
2071,228.54031147
2072,227.29894589
2073,226.0575803
2074,224.81621472
2075,223.57484914
2076,222.33348356
2077,221.09211798
2078,219.8507524
2079,218.60938682
2080,217.36802124
2081,214.13850844
2082,210.90899565
2083,207.67948286
2084,204.44997007
2085,201.22045727
2086,197.99094448
2087,194.76143169
2088,191.5319189
2089,188.3024061
2090,185.07289331
2091,182.46084957
2092,179.84880582
2093,177.23676208
2094,174.62471834
2095,172.01267459
2096,169.40063085
2097,166.78858711
2098,164.17654336
2099,161.56449962
2100,158.95245588
