,Emis
1904,4.1638904632036455
1905,4.234757322092702
1906,4.300397405735195
1907,4.445145799558156
1908,4.39400373521241
1909,4.468823390200753
1910,4.555003689914066
1911,4.594685501287307
1912,4.667874794720468
1913,4.81091728454564
1914,4.6656967308159105
1915,4.634462585128297
1916,4.724450140187717
1917,4.762075036110242
1918,4.737314157751273
1919,4.5709591112597945
1920,4.803176103228395
1921,4.655478378037282
1922,4.819784971721082
1923,5.080835343607627
1924,5.105465664066338
1925,5.171182325978127
1926,5.141981731529065
1927,5.4030259718521725
1928,5.410082182097474
1929,5.596822069158413
1930,5.40943787548049
1931,5.24034115363107
1932,5.090623866720218
1933,5.228103677214618
1934,5.3644796780864565
1935,5.506679294452963
1936,5.722632085803865
1937,5.963967610590562
1938,5.849729447913565
1939,6.003761939040819
1940,6.182766745520995
1941,6.268354687547661
1942,6.234693795795375
1943,6.344498686016201
1944,6.464704552237388
1945,6.260407779204514
1946,6.403492387182985
1947,6.553502941000043
1948,6.847089726252731
1949,6.773785909259142
1950,7.159250460495753
1951,7.409930418228313
1952,7.512953449425676
1953,7.623800112330704
1954,7.710682606149078
1955,8.082012092456504
1956,8.332378358129247
1957,8.412235903198805
1958,8.605178402315397
1959,8.92620604558066
1960,9.090108694536017
1961,8.934735691640665
1962,9.028130833893481
1963,9.215322220240434
1964,9.361211308256008
1965,9.542956726764844
1966,9.820448562606291
1967,10.002824612087108
1968,10.504686886400464
1969,10.990908973514115
1970,11.577250314541137
1971,11.823248805252097
1972,12.164959879108734
1973,12.514483615309727
1974,12.40047014238121
1975,12.570669264645725
1976,12.965684165981214
1977,13.307339273909037
1978,13.830543298252579
1979,13.965137686879364
1980,13.759661132660407
1981,13.702121111344594
1982,13.677165499130918
1983,13.755136615826807
1984,14.039891955373571
1985,14.32014009725941
1986,14.431030396689106
1987,14.688144174431466
1988,14.95496020339656
1989,15.008312680788318
1990,14.812047439497649
1991,14.830125947082824
1992,14.711150725748292
1993,14.672618123018054
1994,14.41456658455559
1995,14.510327561694924
1996,14.446955619557613
1997,14.301126966871418
1998,14.182369013133066
1999,13.877080799735946
2000,13.861854808374622
2001,13.654376683661766
2002,13.363987716406378
2003,13.44597238584094
2004,13.697408360103617
2005,13.769776447934733
2006,13.908672657600437
2007,14.068655122421237
2008,14.391489610826634
2009,14.204305225066076
2010,14.3
2011,14.243981774145333
2012,14.22966485899522
2013,14.326648089661827
2014,14.21329178622027
